event_id,start_date,end_date,event_name,source_fire_names,origin_country,origin_regions,impacted_us_states,impacted_us_regions,evidence_level,attribution_confidence,quantified_pm25_or_aqi,quantitatively_comparable,primary_source_ids,review_status,notes
hist-1950-09-great-smoke-pall,1950-09-24,1950-09-30,Great Smoke Pall,Chinchaga and other western Canadian fires,Canada,Northern Alberta; northeastern British Columbia,"AL; FL; IL; KY; ME; MI; NH; NY; OH; TN; VT; WI",North-central states; Great Lakes; New England; Atlantic Coast to Florida; parts of the Ohio and Tennessee valleys,2,confirmed,false,false,great-smoke-pall-1950,accepted,"Published station survey and synoptic reconstruction; no nationally comparable particulate measurement."
hist-1998-05-mexico-central-america,1998-05-12,1998-05-20,Smoke and haze from Mexican and Central American fires,Mexico and Central America fire outbreak,Mexico; Central America,Mexico; Guatemala; Honduras,"FL; LA; OK; TX",Texas; Oklahoma; Louisiana; Florida and other southern states,4,confirmed,true,false,epa-mexico-fires-1998|epa-mexico-pm25-samples-1998|epa-mexico-pm25-followup-1998|epa-air-quality-trends-1998,accepted,"EPA organized a multi-state air-quality response and measured 24-hour PM2.5 in four Texas cities; preserved as an instrumented event, not a national exposure estimate."
hist-2000-07-western-us,2000-07-27,2000-07-31,Western U.S. multi-state smoke outbreak,Multiple western U.S. wildfires,United States,Western United States,"AZ; CA; CO; ID; MT; NM; NV; TX; UT; WA; WY",Western United States,1,confirmed,false,false,nasa-western-fires-2000,accepted,"GOES imagery documented smoke plumes and heat signatures across multiple states."
hist-2000-07-montana-wyoming,2000-07-30,2000-07-30,Montana and Wyoming smoke pall,Multiple Montana and Wyoming wildfires,United States,Montana; Wyoming,"MT; WY",Montana and Wyoming,1,confirmed,false,false,nasa-montana-wyoming-2000,accepted,"SeaWiFS image documents a thick regional smoke pall."
hist-2000-08-bitterroot,2000-08-21,2000-08-29,Bitterroot Mountains smoke episode,Bitterroot-area fires,United States,Montana; Idaho,"ID; MT",Northern Idaho and western Montana valleys,1,confirmed,true,false,nasa-bitterroot-2000,accepted,"NASA reports regional smoke and contemporary health advisories; no harmonized pollutant metric."
hist-2001-08-siberia-alaska-pnw,2001-08-05,2001-08-10,Siberian smoke reaches Alaska and the Pacific Northwest,Siberian boreal forest fires,Russia,Siberia,"AK; WA",Alaska; coastal British Columbia and Washington,1,probable,false,false,nasa-siberia-smoke-2001,accepted,"SeaWiFS imagery documented transport across the Bering Strait to Alaska; later haze near Washington was described as probably originating from the fires."
hist-2002-05-central-america-texas,2002-05-04,2002-05-04,Central American fire smoke over Texas,Fires in tropical Mexico and Central America,Mexico; Central America,Mexico; Central America,"LA; TX",Texas and the U.S. Gulf Coast,1,confirmed,false,false,nasa-central-america-texas-2002,accepted,"Satellite documentation of transported smoke over the Gulf States."
hist-2002-07-quebec-eastern-us,2002-07-06,2002-07-08,Quebec smoke over the eastern United States,Quebec forest fires,Canada,Quebec,"DC; IL; MA; MD; MI; NH; NJ; NY; OH; PA; VA",Great Lakes; Northeast; Mid-Atlantic,3,confirmed,true,false,nasa-quebec-smoke-2002|nasa-aura-quebec-2002,accepted,"Satellite transport evidence plus NASA documentation of elevated East Coast surface ozone; not a comparable wildfire-PM2.5 estimate."
hist-2002-07-oregon,2002-07-15,2002-08-29,Oregon wildfire-smoke season,Florence; Tiller Complex; other Oregon fires,United States,Oregon,"OR; WA",Oregon and nearby Pacific Northwest,1,confirmed,false,false,nasa-oregon-fires-2002,accepted,"Long-running NASA satellite event collection documents repeated large smoke plumes; regional reach is conservatively limited."
hist-2002-08-alaska,2002-08-04,2002-08-06,Alaska heavy-smoke episode,Multiple lightning-caused Alaska fires,United States,Interior Alaska,AK,Interior Alaska,1,confirmed,false,false,nasa-alaska-smoke-2002,accepted,"MODIS imagery and Alaska Fire Service context document smoke hampering aerial operations."
